Code Mod,NCIC Category Assignment,Description,NC Non-Facility Rate,NC Facility Rate
0277U,Clinical Laboratory,HEM GEN PLTLT FUNCJ DO 40,912.26,912.26
0278T,Other professional services,TEMPR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0278U,Clinical Laboratory,HEM GEN THROMBOSIS 14 GENES,912.26,912.26
0279U,Clinical Laboratory,HEM VW FACTOR&CLGN III BNDG,17.30,17.30
0280U,Clinical Laboratory,HEM VW FACTOR&CLGN IV BNDG,25.91,25.91
0281U,Clinical Laboratory,HEM VWD PROPEPTIDE AG LVL,25.91,25.91
0282U,Clinical Laboratory,RBC DNA GNTYP 12 BLD GRP GEN,1080.00,1080.00
0283U,Clinical Laboratory,VW FACTOR TYPE 2B EVAL PLSM,27.60,27.60
0284U,Clinical Laboratory,VW FACTOR TYPE 2N EVAL PLSM,25.91,25.91
0285U,Clinical Laboratory,ONC RSPS RADJ CLL FR DNA TOX,664.97,664.97
0286U,Clinical Laboratory,CEP72 NUDT15&TPMT GENE ALYS,201.20,201.20
0287U,Clinical Laboratory,ONC THYR DNA&MRNA 112 GENES,5400.00,5400.00
0288U,Clinical Laboratory,ONC LUNG MRNA QUAN PCR 11&3,5809.50,5809.50
0289U,Clinical Laboratory,NEURO ALZHEIMER MRNA 24 GEN,1140.00,1140.00
0290U,Clinical Laboratory,PAIN MGMT MRNA GEN XPRSN 36,1140.00,1140.00
0291U,Clinical Laboratory,PSYC MOOD DO MRNA 144 GENES,2632.50,2632.50
0292U,Clinical Laboratory,PSYC STRS DO MRNA 72 GENES,2632.50,2632.50
0293U,Clinical Laboratory,PSYC SUICIDAL IDEA MRNA 54,1140.00,1140.00
0294U,Clinical Laboratory,LNGVTY&MRTLTY RSK MRNA 18GEN,1140.00,1140.00
0295U,Clinical Laboratory,ONC BRST DUX CARC 7 PROTEINS,8152.50,8152.50
0296U,Clinical Laboratory,ONC ORL&/OROP CA 20 MLC FEAT,2925.00,2925.00
0297U,Clinical Laboratory,ONC PAN TUM WHL GEN SEQ DNA,4379.40,4379.40
0298U,Clinical Laboratory,ONC PAN TUM WHL TRNS SEQ RNA,4379.40,4379.40
0299U,Clinical Laboratory,ONC PAN TUM WHL GEN OPT MAPG,2794.83,2794.83
0300U,Clinical Laboratory,ONC PAN TUM WHL GEN SEQ&OPT,6274.70,6274.70
0301U,Clinical Laboratory,IADNA BARTONELLA DDPCR,394.08,394.08
0302U,Clinical Laboratory,IADNA BRTNLA DDPCR FLWG LIQ,542.06,542.06
0303U,Clinical Laboratory,HEM RBC ADS WHL BLD HYPOXIC,3302.43,3302.43
0304U,Clinical Laboratory,HEM RBC ADS WHL BLD NORMOXIC,3113.70,3113.70
0305U,Clinical Laboratory,HEM RBC FNCLTY&DFRM SHR STRS,993.87,993.87
0306U,Clinical Laboratory,ONC MRD NXT-GNRJ ALYS 1ST,5817.68,5817.68
0307U,Clinical Laboratory,ONC MRD NXT-GNRJ ALYS SBSQ,1191.74,1191.74
0308T,Major surgery,INSJ OCULAR TELESCOPE PROSTH,935.10,935.10
0308U,Clinical Laboratory,CRD CAD ALYS 3 PRTN 3 PARAM,586.13,586.13
0309U,Clinical Laboratory,CRD CV DS ALY 4 PRTN PLM ALG,586.13,586.13
0310U,Clinical Laboratory,PED VSCLTS KD ALYS 3 BMRKS,586.13,586.13
0311U,Clinical Laboratory,NFCT DS BCT QUAN ANTMCRB SC,12.12,12.12
0312U,Clinical Laboratory,AI DS SLE ALYS 8 IGG AUTOANT,1260.98,1260.98
0313U,Clinical Laboratory,ONC PNCRS DNA&MRNA SEQ 74,5400.00,5400.00
0314U,Clinical Laboratory,ONC CUTAN MLNMA MRNA 35 GENE,2925.00,2925.00
0315U,Clinical Laboratory,ONC CUTAN SQ CLL CA MRNA 40,12750.00,12750.00
0316U,Clinical Laboratory,B BRGDRFERI LYME DS OSPA EVL,27.99,27.99
0317U,Clinical Laboratory,ONC LUNG CA 4-PRB FISH ASSAY,3045.00,3045.00
0318U,Clinical Laboratory,PED WHL GEN MTHYLTN ALYS 50+,2655.72,2655.72
0319U,Clinical Laboratory,NEPH RNA PRETRNSPL PERPH BLD,3975.00,3975.00
0320U,Clinical Laboratory,NEPH RNA PSTTRNSPL PERPH BLD,3975.00,3975.00
0321U,Clinical Laboratory,IADNA GU PTHGN 20BCT&FNG ORG,952.26,952.26
0322U,Clinical Laboratory,NEURO ASD MEAS 14 ACYL CARN,1125.00,1125.00
0323U,Clinical Laboratory,IADNA CNS PTHGN NEXT GEN SEQ,3189.30,3189.30
0326U,Clinical Laboratory,TRGT GEN SEQ ALYS PNL 83+,7500.00,7500.00
0327U,Clinical Laboratory,FTL ANEUPLOIDY TRSMY DNA SEQ,1192.50,1192.50
0328U,Clinical Laboratory,DRUG ASSAY 120+ RX&METABLT,171.65,171.65
0329T,Major surgery,MNTR IO PRESS 24HRS/> UNI/BI,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0329U,Clinical Laboratory,ONC NEO XOME&TRNS SEQ ALYS,5156.97,5156.97
0330T,Major surgery,TEAR FILM IMG UNI/BI W/I&R,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0330U,Clinical Laboratory,IADNA VAG PTHGN PANEL 27 ORG,625.17,625.17
0331T,Major surgery,HEART SYMP IMAGE PLNR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0331U,Clinical Laboratory,ONC HL NEO OPT GEN MAPPING,2794.83,2794.83
0332T,Major surgery,HEART SYMP IMAGE PLNR SPECT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0332U,Clinical Laboratory,ONC PAN TUM GEN PRFLG 8 DNA,1713.09,1713.09
0333T,Major surgery,VISUAL EP SCR ACUITY AUTO,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0333U,Clinical Laboratory,ONC LVR SURVEILANC HCC CFDNA,993.48,993.48
0334U,Clinical Laboratory,ONC SLD ORGN TGSA DNA 84/+,5250.00,5250.00
0335T,Major surgery,INSJ SINUS TARSI IMPLANT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0335U,Clinical Laboratory,RARE DS WHL GEN SEQ FETAL,7836.90,7836.90
0336U,Clinical Laboratory,RARE DS WHL GEN SEQ BLD/SLV,3861.98,3861.98
0337U,Clinical Laboratory,ONC PLSM CELL DO&MYELOMA ID,3652.50,3652.50
0338T,Major surgery,TRNSCTH RENAL SYMP DENRV UNL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0338U,Clinical Laboratory,ONC SLD TUM CRCG TUM CL SLCT,3652.50,3652.50
0339T,Major surgery,TRNSCTH RENAL SYMP DENRV BIL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0339U,Clinical Laboratory,ONC PRST8 MRNA HOXC6 & DLX1,1140.00,1140.00
0340U,Clinical Laboratory,ONC PAN CA ALYS MRD PLASMA,5880.00,5880.00
0341U,Clinical Laboratory,FTL ANEUP DNA SEQ CMPR ALYS,2850.30,2850.30
0342T,Major surgery,THXP APHERESIS W/HDL DELIP,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0342U,Clinical Laboratory,ONC PNCRTC CA MULT IA ECLIA,1345.50,1345.50
0343U,Clinical Laboratory,ONC PRST8 XOM ALY 442 SNCRNA,1140.00,1140.00
0344U,Clinical Laboratory,HEP NAFLD SEMIQ EVL 28 LIPID,1188.26,1188.26
0345T,Major surgery,TRANSCATH MTRAL VLVE REPAIR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0345U,Clinical Laboratory,PSYC GENOM ALYS PNL 15 GEN,2004.14,2004.14
0347T,Major surgery,INS BONE DEVICE FOR RSA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0347U,Clinical Laboratory,RX METAB/PCX DNA 16 GEN ALYS,2004.14,2004.14
0348T,Major surgery,RSA SPINE EXAM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0348U,Clinical Laboratory,RX METAB/PCX DNA 25 GEN ALYS,1113.41,1113.41
0349T,Major surgery,RSA UPPER EXTR EXAM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0349U,Clinical Laboratory,RX METAB/PCX DNA 27GEN RX IA,1113.41,1113.41
0350T,Major surgery,RSA LOWER EXTR EXAM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0350U,Clinical Laboratory,RX METAB/PCX DNA 27 GEN ALYS,2004.14,2004.14
0351T,Major surgery,INTRAOP OCT BRST/NODE SPEC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0351U,Clinical Laboratory,NFCT DS BCT/VIRAL TRAIL IP10,390.75,390.75
0352T,Major surgery,OCT BRST/NODE I&R PER SPEC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0353T,Major surgery,INTRAOP OCT BREAST CAVITY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0354T,Major surgery,OCT BREAST SURG CAVITY I&R,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0355U,Clinical Laboratory,APOL1 RISK VARIANTS,205.50,205.50
0356U,Clinical Laboratory,ONC OROP/ANAL 17 DNA DDPCR,2700.00,2700.00
0358T,Major surgery,BIA WHOLE BODY,9.75,9.75
0358U,Clinical Laboratory,NEURO ALYS -AMYL 1-42&1-40,390.75,390.75
0359U,Clinical Laboratory,ONC PRST8 CA ALYS ALL PSA,1140.00,1140.00
0360U,Clinical Laboratory,ONC LUNG ELISA 7 AUTOANT ALG,1174.40,1174.40
0361U,Clinical Laboratory,NEURFLMNT LT CHN DIG IA QUAN,174.35,174.35
0362T,Major surgery,BHV ID SUPRT ASSMT EA 15 MIN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0362U,Clinical Laboratory,ONC PAP THYR CA RNA 82&10,5400.00,5400.00
0363U,Clinical Laboratory,ONC URTHL MRNA 5 GEN ALG,1140.00,1140.00
0364U,Clinical Laboratory,ONC HL NEO GEN SEQ ALYS ALG,3010.88,3010.88
0365U,Clinical Laboratory,ONC BLDR 10 UR HRBR URTHL CA,1345.50,1345.50
0366U,Clinical Laboratory,ONC BLDR 10 PRB RECR BLDR CA,1345.50,1345.50
0367U,Clinical Laboratory,ONC BLDR 10 FLWG TRURL RESCJ,1353.27,1353.27
0368U,Clinical Laboratory,ONC CLRCT CA MUT&MTHYLTN MRK,625.17,625.17
0369U,Clinical Laboratory,IADNA GI PTHGN 31 ORG&21 ARG,625.17,625.17
0370U,Clinical Laboratory,IADNA SURG WND PTHGN 34&21,625.17,625.17
0371U,Clinical Laboratory,IADNA GU PTHGN SEMIQ DNA16&1,625.17,625.17
0372U,Clinical Laboratory,NFCT DS GU PTHGN ARG DETCJ,625.17,625.17
0373T,Major surgery,ADAPT BHV TX EA 15 MIN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0373U,Clinical Laboratory,IADNA RSP TR NFCT 17 8 13&16,625.17,625.17
0374U,Clinical Laboratory,IADNA GU PTHGN 21 ORG&21ARG,625.17,625.17
0375U,Clinical Laboratory,ONC OVRN BCHM ASY 7 PRTN ALG,1345.50,1345.50
0376U,Clinical Laboratory,ONC PRST8 CA IMG ALYS 128,1059.38,1059.38
0377U,Clinical Laboratory,CV DS QUAN ADVSRM/PLSM LPRTN,71.37,71.37
0378T,Other professional services,VISUAL FIELD ASSMNT REV/RPRT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0378U,Clinical Laboratory,RFC1 REPEAT XPNSJ VRNT ALYS,205.50,205.50
0379T,Other professional services,VIS FIELD ASSMNT TECH SUPPT,116.85,116.85
0379U,Clinical Laboratory,TGSAP SL OR NEO DNA523&RNA55,4932.77,4932.77
0381U,Clinical Laboratory,MAPLE SYRUP UR DS MNTR QUAN,66.18,66.18
0382U,Clinical Laboratory,HYPRPHENYLALNINMIA MNTR QUAN,77.46,77.46
0383U,Clinical Laboratory,TYROSINEMIA TYP I MNTR QUAN,78.08,78.08
0384U,Clinical Laboratory,NEPH CKD RSK HI STG KDN DS,1125.00,1125.00
0385U,Clinical Laboratory,NEPH CKD ALG RSK DBTC KDN DS,586.13,586.13
0387U,Clinical Laboratory,ONC MLNMA AMBRA1&AMLO,1422.75,1422.75
0388U,Clinical Laboratory,ONC NONSM CLL LNG CA 37 GEN,5250.00,5250.00
0389U,Clinical Laboratory,PED FBRL KD IFI27&MCEMP1 RNA,105.30,105.30
0390U,Clinical Laboratory,OB PE KDR ENG&RBP4 IA ALG,96.62,96.62
0391U,Clinical Laboratory,ONC SLD TUM DNA&RNA 437 GEN,5400.00,5400.00
0392U,Clinical Laboratory,RX METAB GEN-RX IA 16 GENES,2004.14,2004.14
0393U,Clinical Laboratory,NEU PRKSN MSFL -SYNCLN PRTN,811.49,811.49
0394T,Other professional services,HDR ELCTRNC SKN SURF BRCHYTX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0394U,Clinical Laboratory,PFAS 16 PFAS COMPND LC MS/MS,298.11,298.11
0395T,Other professional services,HDR ELCTR NTRST/NTRCV BRCHTX,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0395U,Clinical Laboratory,ONC LNG MULTIOMICS PLSM ALG,1196.18,1196.18
0397T,Other professional services,ERCP W/OPTICAL ENDOMICROSCPY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0398U,Clinical Laboratory,GI BARET ESPH DNA MTHYLN ALY,2632.50,2632.50
0399U,Clinical Laboratory,NEURO CERE FOLATE DEFNCY SRM,450.00,450.00
0400U,Clinical Laboratory,OB XPND CAR SCR 145 GENES,2185.32,2185.32
0401U,Clinical Laboratory,CRD C HRT DS 9 GEN 12 VRNTS,734.52,734.52
0402T,Other professional services,COLGN CRS-LINK CRN&PACHYMTRY,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0402U,Clinical Laboratory,NFCT AGT STI MULT AMP PRB TQ,213.95,213.95
0403T,Other professional services,DIABETES PREV STANDARD CURR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0403U,Clinical Laboratory,ONC PRST8 MRNA 18 GEN 1ST UR,1140.00,1140.00
0404U,Clinical Laboratory,ONC BRST SEMIQ MEAS THYM KN,484.44,484.44
0405U,Clinical Laboratory,ONC PNCRTC 59 MTHLTN BLK MRK,2655.72,2655.72
0406U,Clinical Laboratory,ONC LUNG FLOW CYTMTRY 5 MRK,1140.00,1140.00
0407U,Clinical Laboratory,NEPH DBTC CKD MULT ECLIA ALG,1425.00,1425.00
0408T,Other professional services,INSJ/RPLC CARDIAC MODULJ SYS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0408U,Clinical Laboratory,IAAD BLK AC WV BSNSR SARSCV2,21.20,21.20
0409T,Other professional services,INSJ/RPLC CAR MODULJ PLS GN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0409U,Clinical Laboratory,ONC SLD TUM DNA 80 & RNA 36,4379.40,4379.40
0410T,Other professional services,INSJ/RPLC CAR MODULJ ATR ELT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0410U,Clinical Laboratory,ONC PNCRTC DNA WHL GN SEQ 5-,1740.00,1740.00
0411T,Other professional services,INSJ/RPLC CAR MODULJ VNT ELT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0411U,Clinical Laboratory,PSYC GENOM ALYS PNL 15 GEN,2004.14,2004.14
0412T,Other professional services,RMVL CARDIAC MODULJ PLS GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0412U,Clinical Laboratory,BETA AMYLOID A42/40 IMPRCIP,1125.00,1125.00
0413T,Other professional services,RMVL CAR MODULJ TRANVNS ELT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0413U,Clinical Laboratory,ONC HL NEO OPT GEN MAPG DNA,1895.30,1895.30
0414T,Other professional services,RMVL & RPL CAR MODULJ PLS GN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0414U,Clinical Laboratory,ONC LNG AUG ALG ALY WHL SLD8,1059.38,1059.38
0415T,Other professional services,REPOS CAR MODULJ TRANVNS ELT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0415U,Clinical Laboratory,CV DS ACS BLD ALG 5 YR SCORE,586.13,586.13
0416T,Other professional services,RELOC SKIN POCKET PLS GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0417T,Other professional services,PRGRMG EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0417T-26,Other professional services,PRGRMG EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0417T-TC,Other professional services,PRGRMG EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0417U,Clinical Laboratory,RARE DS ALYS 335 NUC GENES,4263.80,4263.80
0418T,Other professional services,INTERRO EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0418T-26,Other professional services,INTERRO EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0418T-TC,Other professional services,INTERRO EVAL CARDIAC MODULJ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0418U,Clinical Laboratory,ONC BRST AUG ALG ALY WHL SL8,1059.38,1059.38
0419T,Other professional services,DSTRJ NEUROFIBROMA XTNSV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0419U,Clinical Laboratory,NRPSYC GEN SEQ VRNT ALY 13,2004.14,2004.14
0420T,Other professional services,DSTRJ NEUROFIBROMA XTNSV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0420U,Clinical Laboratory,ONC URTHL MRNA XPRSN 6 SNP,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0421T,Other professional services,WATERJET PROSTATE ABLTJ CMPL,970.85,970.85
0421U,Clinical Laboratory,ONC CLRCT SCR SGL AMP 8 RNA,763.31,763.31
0422T,Other professional services,TACTILE BREAST IMG UNI/BI,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0422U,Clinical Laboratory,ONC PAN SOLID TUM ALYS DNA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0423U,Clinical Laboratory,PSYC GENOMIC ALYS PNL 26 GEN,625.17,625.17
0424U,Clinical Laboratory,ONC PRST8 XOM ALYS 53 SNCRNA,1140.00,1140.00
0425U,Clinical Laboratory,GENOM RPD SEQ ALYS EA CMPRTR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0426U,Clinical Laboratory,GENOME ULTRA-RAPID SEQ ALYS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0427U,Clinical Laboratory,MONOCYTE DSTRBJ WDTH WHL BLD,6.72,6.72
0429U,Clinical Laboratory,HPV OROP SWAB 14 HI-RISK TYP,52.64,52.64
0430U,Clinical Laboratory,GI MALABS AAT CALPRO PNCRTC,92.31,92.31
0431U,Clinical Laboratory,GLY RCPTR ALPHA1 IGG SRM/CSF,54.86,54.86
0432U,Clinical Laboratory,KLHL11 ANTB SR/CSF ASY QUAL,54.86,54.86
0433U,Clinical Laboratory,ONC PRST8 5 DNA REG MRK PCR,1140.00,1140.00
0434U,Clinical Laboratory,RX METAB ADVRS VRNT ALYS 25,625.17,625.17
0435U,Clinical Laboratory,ONC CHEMO RX CYTOX CSC 14 RX,4550.79,4550.79
0436U,Clinical Laboratory,ONC LNG PLSM ALYS 388 PRTN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0437T,Other professional services,IMPLTJ SYNTH RNFCMT ABDL WAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0437U,Clinical Laboratory,PSYC ANXIETY DO MRNA 15 BMRK,1140.00,1140.00
0438U,Clinical Laboratory,RX METAB ADVRS VRNT ALYS 33,625.17,625.17
0439T,Other professional services,MYOCRD CONTRAST PRFUJ ECHO,374.63,374.63
0439U,Clinical Laboratory,CRD CHD DNA ALYS 5 SNP 3 DNA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0440T,Other professional services,ABLTJ PERC UXTR/PERPH NRV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0440U,Clinical Laboratory,CRD CHD DNA ALYS 10 SNP 6DNA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0441T,Other professional services,ABLTJ PERC LXTR/PERPH NRV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0441U,Clinical Laboratory,NFCT DS BCT FNGL/VIRAL SEMIQ,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0442T,Other professional services,ABLTJ PERC PLEX/TRNCL NRV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0442U,Clinical Laboratory,NFCT DS RESPIR NFCTJ MXA&CRP,62.07,62.07
0443T,Other professional services,R-T SPCTRL ALYS PRST8 TISS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0443U,Clinical Laboratory,NEURFLMNT LT CHN ULTRSENS IA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0444T,Other professional services,1ST PLMT DRUG ELUT OC INS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0444U,Clinical Laboratory,ONC SLD ORGN NEO TGSAP 361,4379.40,4379.40
0445T,Other professional services,SBSQT PLMT DRUG ELUT OC INS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0445U,Clinical Laboratory,ABETA42 & PTAU181 ECLIA CSF,390.75,390.75
0446T,Other professional services,INSJ IMPLTBL GLUCOSE SENSOR,4122.65,79.01
0446U,Clinical Laboratory,AI DS SLE ALYS 10 CYTOKINE,1260.98,1260.98
0447T,Other professional services,RMVL IMPLTBL GLUCOSE SENSOR,136.47,91.98
0447U,Clinical Laboratory,AI DS SLE ALYS 11 CYTOKINE,1260.98,1260.98
0448T,Other professional services,REMVL INSJ IMPLTBL GLUC SENS,3909.24,131.60
0449T,Other professional services,INSJ AQUEOUS DRAIN DEV 1ST,1018.79,1018.79
0449U,Clinical Laboratory,CAR SCR SEV INH COND 5 GENES,2737.32,2737.32
0450T,Other professional services,INSJ AQUEOUS DRAIN DEV EACH,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0450U,Clinical Laboratory,ONC MM LC-MS/MS MONOC P-PRTN,65.15,65.15
0451U,Clinical Laboratory,ONC MM LC-MS/MS PEP ION QUAN,65.15,65.15
0452U,Clinical Laboratory,ONC BLDR MTHYL PENK LTE-QMSP,288.00,288.00
0453U,Clinical Laboratory,ONC CLRCT CA CFDNA QPCR ASY,288.00,288.00
0454U,Clinical Laboratory,RARE DS ID OPT GENOME MAPG,1895.30,1895.30
0455U,Clinical Laboratory,NFCT AGT STI MULT AMP PRB UR,213.95,213.95
0457U,Clinical Laboratory,PFAS 9 CMPND LC-MS/MS PLS/SR,298.11,298.11
0458U,Clinical Laboratory,ONC BRST CA S100 A8&A9 ELISA,390.75,390.75
0459U,Clinical Laboratory,ABETA42 & TTAU ECLIA CSF,390.75,390.75
0460U,Clinical Laboratory,ONC WHL BLD/BUCC RTPCR 24GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0461U,Clinical Laboratory,ONC RXGENOM ALYS RTPCR 24GEN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0462U,Clinical Laboratory,MELATONIN LVL TST SLP STD7/9,25.91,25.91
0463U,Clinical Laboratory,ONC CRVX MRNA GENXPRSN 14BMK,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0464T,Other professional services,VISUAL EP TEST FOR GLAUCOMA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0464U,Clinical Laboratory,ONC CLRCT SCR QRTSA DNA MRK,887.88,887.88
0465U,Clinical Laboratory,ONC URTHL CARC DNA QMSP 2GEN,2907.02,2907.02
0466U,Clinical Laboratory,CRD CAD DNA GWAS 564856 SNP,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0467U,Clinical Laboratory,ONC BLDR DNA NGS 60GEN&ANEUP,2278.59,2278.59
0468U,Clinical Laboratory,HEP NASH MIR-34A5P A2M YKL40,377.55,377.55
0469T,Other professional services,RTA POLARIZE SCAN OC SCR BI,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0469U,Clinical Laboratory,RARE DS WHL GEN SEQ FTL SAMP,1796.91,1796.91
0470U,Clinical Laboratory,ONC OROP DETCJ MRD 8 DNA HPV,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0471U,Clinical Laboratory,ONC CLRC CA 35 VRN KRAS&NRAS,1140.00,1140.00
0472T,Other professional services,PRGRMG IO RTA ELTRD RA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0472U,Clinical Laboratory,CA VI PSP&SP1 ANTB SJGREN,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0473T,Other professional services,REPRGRMG IO RTA ELTRD RA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0473U,Clinical Laboratory,ONC SLD TUM BLD/SLV 648 GENE,6750.00,6750.00
0474T,Other professional services,INSJ AQUEOUS DRG DEV IO RSVR,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0474U,Clinical Laboratory,HERED PAN CA GSAP 88GENE NGS,1955.93,1955.93
0475U,Clinical Laboratory,HERED PRST8 CA GSAP 23 GENES,1955.93,1955.93
0476U,Clinical Laboratory,RX METAB PSYC 14GEN&CYP2D6,625.17,625.17
0477U,Clinical Laboratory,RX METAB PSY 14&CYP2D6 GN-RX,625.17,625.17
0478U,Clinical Laboratory,ONC NSCLC DNA&RNA DPCR 9GENS,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0479T,Other professional services,FXJL ABL LSR 1ST 100 SQ CM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0479U,Clinical Laboratory,TAU PHOSPHORYLATED PTAU217,25.91,25.91
0480T,Other professional services,FXJL ABL LSR EA ADDL 100SQCM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0480U,Clinical Laboratory,NFCT DS CSF METAG NGS ALYS,3189.30,3189.30
0481T,Other professional services,NJX AUTOL WBC CONCENTRATE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0481U,Clinical Laboratory,IDH1 IDH2&TERT PROMOTER NGS,1011.36,1011.36
0482U,Clinical Laboratory,OB PE BIOCHEM ASY SFLT1&PLGF,193.23,193.23
0483T,Other professional services,TMVI PERCUTANEOUS APPROACH,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0483U,Clinical Laboratory,NFCT DS NG GYRA S91F PT MUT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0484T,Other professional services,TMVI TRANSTHORACIC EXPOSURE,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0484U,Clinical Laboratory,NFCT DS MGEN 23S RRNA PT MUT,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0485T,Other professional services,OCT MID EAR I&R UNILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0485T-26,Other professional services,OCT MID EAR I&R UNILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0485T-TC,Other professional services,OCT MID EAR I&R UNILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0485U,Clinical Laboratory,ONC SOL TUM CFDNA&RNA NGS GM,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0486T,Other professional services,OCT MID EAR I&R BILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0486T-26,Other professional services,OCT MID EAR I&R BILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0486T-TC,Other professional services,OCT MID EAR I&R BILATERAL,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0486U,Clinical Laboratory,ONC PAN SOL TUM NGS CFCTDNA,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0487U,Clinical Laboratory,ONC SOL TUM CFCDNA TGSAP 84,4379.40,4379.40
0488T,Other professional services,DIABETES PREV ONLINE/ELEC,UCR or Pay Per Agreement,UCR or Pay Per Agreement
0488U,Clinical Laboratory,OB FETAL AG NIPT CFDNA ALYS,1138.58,1138.58
